id;municipio;2018;2019;2020;2021
421900;URUSSANGA;21190;21268;21344;21419
421910;VARGEAO;3575;3573;3571;3569
421915;VARGEM;2522;2477;2432;2387
421917;VARGEM BONITA;4534;4492;4451;4411
421920;VIDAL RAMOS;6347;6338;6329;6321
421930;VIDEIRA;52510;53065;53610;54145
421935;VITOR MEIRELES;5014;4979;4943;4907
421940;WITMARSUM;3932;3965;3998;4032
421950;XANXERE;50309;50982;51642;52290
421960;XAVANTINA;3963;3933;3903;3873
421970;XAXIM;28424;28706;28983;29254
421985;ZORTEA;3328;3363;3398;3432
422000;BALNEARIO RINCAO;12570;12760;12946;13129
